"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 19:16:42 GMT 2025","Thu Feb 20 19:16:42 GMT 2025","121","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComEmailInvalido","testTentarFazerLoginComEmailInvalido","Testa se o usuario pode fazer login com email invalido"
"passed","Thu Feb 20 19:16:38 GMT 2025","Thu Feb 20 19:16:42 GMT 2025","3340","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComCredenciaisInvalidas","testTentarFazerLoginComCredenciaisInvalidas","Testa se o usuario pode fazer login com credenciais invalidas"
"passed","Thu Feb 20 19:16:11 GMT 2025","Thu Feb 20 19:16:13 GMT 2025","2015","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucessoSchema","testDeveFazerLoginComSucessoSchema","Testa se o usuario faz login com sucesso"
"passed","Thu Feb 20 19:16:42 GMT 2025","Thu Feb 20 19:16:42 GMT 2025","132","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucesso","testDeveCadastrarUsuarioComSucesso","Testa se um usuário válido pode ser cadastrado com sucesso"
"failed","Thu Feb 20 17:50:16 GMT 2025","Thu Feb 20 17:50:16 GMT 2025","480","Default Suite","qa-github-actions","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testFalhaProposital","testFalhaProposital","Este teste falha propositalmente"
"passed","Thu Feb 20 19:16:13 GMT 2025","Thu Feb 20 19:16:13 GMT 2025","133","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucessoSchema","testDeveCadastrarUsuarioComSucessoSchema","Testa se é possível cadastrar um usuário e validar o schema do contrato"
"passed","Thu Feb 20 19:14:45 GMT 2025","Thu Feb 20 19:14:49 GMT 2025","4137","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucesso","testDeveFazerLoginComSucesso","Testa se o usuario faz login com sucesso"
"passed","Thu Feb 20 19:14:49 GMT 2025","Thu Feb 20 19:14:49 GMT 2025","132","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado","testTentarCadastrarUsuarioComEmailJaCadastrado","Testa se o sistema impede o cadastro de um usuário com email já existente"
