"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 18:25:27 GMT 2025","Thu Feb 20 18:25:27 GMT 2025","167","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucesso","testDeveCadastrarUsuarioComSucesso","Testa se um usuário válido pode ser cadastrado com sucesso"
"passed","Thu Feb 20 18:25:27 GMT 2025","Thu Feb 20 18:25:27 GMT 2025","137","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComCredenciaisInvalidas","testTentarFazerLoginComCredenciaisInvalidas",""
"passed","Thu Feb 20 18:25:24 GMT 2025","Thu Feb 20 18:25:26 GMT 2025","2089","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucesso","testDeveFazerLoginComSucesso",""
"passed","Thu Feb 20 18:25:26 GMT 2025","Thu Feb 20 18:25:26 GMT 2025","340","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucessoSchema","testDeveFazerLoginComSucessoSchema",""
"passed","Thu Feb 20 18:24:35 GMT 2025","Thu Feb 20 18:24:35 GMT 2025","207","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado","testTentarCadastrarUsuarioComEmailJaCadastrado","Testa se o sistema impede o cadastro de um usuário com email já existente"
"failed","Thu Feb 20 17:50:16 GMT 2025","Thu Feb 20 17:50:16 GMT 2025","480","Default Suite","qa-github-actions","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testFalhaProposital","testFalhaProposital","Este teste falha propositalmente"
"passed","Thu Feb 20 18:25:27 GMT 2025","Thu Feb 20 18:25:27 GMT 2025","158","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComEmailInvalido","testTentarFazerLoginComEmailInvalido",""
"passed","Thu Feb 20 18:25:03 GMT 2025","Thu Feb 20 18:25:03 GMT 2025","135","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucessoSchema","testDeveCadastrarUsuarioComSucessoSchema","Testa se é possível cadastrar um usuário e validar o schema do contrato"
