"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 17:44:26 GMT 2025","Thu Feb 20 17:44:26 GMT 2025","439","Default Suite","qa-github-actions","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComEmailInvalido","testTentarFazerLoginComEmailInvalido",""
"passed","Thu Feb 20 17:50:11 GMT 2025","Thu Feb 20 17:50:15 GMT 2025","3803","Default Suite","qa-github-actions","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucesso","testDeveCadastrarUsuarioComSucesso","Testa se um usuário válido pode ser cadastrado com sucesso"
"passed","Thu Feb 20 17:50:15 GMT 2025","Thu Feb 20 17:50:16 GMT 2025","1004","Default Suite","qa-github-actions","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucessoSchema","testDeveCadastrarUsuarioComSucessoSchema","Testa se é possível cadastrar um usuário e validar o schema do contrato"
"passed","Thu Feb 20 17:44:24 GMT 2025","Thu Feb 20 17:44:25 GMT 2025","1348","Default Suite","qa-github-actions","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucessoSchema","testDeveFazerLoginComSucessoSchema",""
"passed","Thu Feb 20 17:56:36 GMT 2025","Thu Feb 20 17:56:38 GMT 2025","1899","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucesso","testDeveFazerLoginComSucesso",""
"failed","Thu Feb 20 17:50:16 GMT 2025","Thu Feb 20 17:50:16 GMT 2025","480","Default Suite","qa-github-actions","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testFalhaProposital","testFalhaProposital","Este teste falha propositalmente"
"failed","Thu Feb 20 17:56:38 GMT 2025","Thu Feb 20 17:56:38 GMT 2025","103","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado","testTentarCadastrarUsuarioComEmailJaCadastrado","Testa se o sistema impede o cadastro de um usuário com email já existente"
"passed","Thu Feb 20 17:44:25 GMT 2025","Thu Feb 20 17:44:26 GMT 2025","491","Default Suite","qa-github-actions","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComCredenciaisInvalidas","testTentarFazerLoginComCredenciaisInvalidas",""
