"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 18:47:22 GMT 2025","Thu Feb 20 18:47:24 GMT 2025","2098","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucesso","testDeveFazerLoginComSucesso","Testa se o usuario faz login com sucesso"
"passed","Thu Feb 20 18:48:14 GMT 2025","Thu Feb 20 18:48:17 GMT 2025","3091","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComCredenciaisInvalidas","testTentarFazerLoginComCredenciaisInvalidas","Testa se o usuario pode fazer login com credenciais invalidas"
"passed","Thu Feb 20 18:47:45 GMT 2025","Thu Feb 20 18:47:47 GMT 2025","2739","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucessoSchema","testDeveFazerLoginComSucessoSchema","Testa se o usuario faz login com sucesso"
"passed","Thu Feb 20 18:48:17 GMT 2025","Thu Feb 20 18:48:17 GMT 2025","120","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComEmailInvalido","testTentarFazerLoginComEmailInvalido","Testa se o usuario pode fazer login com email invalido"
"passed","Thu Feb 20 18:48:17 GMT 2025","Thu Feb 20 18:48:17 GMT 2025","109","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucesso","testDeveCadastrarUsuarioComSucesso","Testa se um usuário válido pode ser cadastrado com sucesso"
"passed","Thu Feb 20 18:47:47 GMT 2025","Thu Feb 20 18:47:47 GMT 2025","119","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucessoSchema","testDeveCadastrarUsuarioComSucessoSchema","Testa se é possível cadastrar um usuário e validar o schema do contrato"
"passed","Thu Feb 20 18:47:24 GMT 2025","Thu Feb 20 18:47:24 GMT 2025","151","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado","testTentarCadastrarUsuarioComEmailJaCadastrado","Testa se o sistema impede o cadastro de um usuário com email já existente"
"failed","Thu Feb 20 17:50:16 GMT 2025","Thu Feb 20 17:50:16 GMT 2025","480","Default Suite","qa-github-actions","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testFalhaProposital","testFalhaProposital","Este teste falha propositalmente"
