"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 19:08:39 GMT 2025","Thu Feb 20 19:08:39 GMT 2025","137","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucessoSchema","testDeveCadastrarUsuarioComSucessoSchema","Testa se é possível cadastrar um usuário e validar o schema do contrato"
"passed","Thu Feb 20 19:08:19 GMT 2025","Thu Feb 20 19:08:19 GMT 2025","125","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado","testTentarCadastrarUsuarioComEmailJaCadastrado","Testa se o sistema impede o cadastro de um usuário com email já existente"
"passed","Thu Feb 20 19:08:36 GMT 2025","Thu Feb 20 19:08:39 GMT 2025","2687","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucessoSchema","testDeveFazerLoginComSucessoSchema","Testa se o usuario faz login com sucesso"
"passed","Thu Feb 20 19:08:57 GMT 2025","Thu Feb 20 19:08:58 GMT 2025","142","Surefire suite","Surefire test","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucesso","testDeveCadastrarUsuarioComSucesso","Testa se um usuário válido pode ser cadastrado com sucesso"
"passed","Thu Feb 20 19:08:55 GMT 2025","Thu Feb 20 19:08:57 GMT 2025","2085","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComCredenciaisInvalidas","testTentarFazerLoginComCredenciaisInvalidas","Testa se o usuario pode fazer login com credenciais invalidas"
"failed","Thu Feb 20 17:50:16 GMT 2025","Thu Feb 20 17:50:16 GMT 2025","480","Default Suite","qa-github-actions","usuarios.CadastrarUsuariosTest","usuarios.CadastrarUsuariosTest","testFalhaProposital","testFalhaProposital","Este teste falha propositalmente"
"passed","Thu Feb 20 19:08:17 GMT 2025","Thu Feb 20 19:08:19 GMT 2025","1931","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucesso","testDeveFazerLoginComSucesso","Testa se o usuario faz login com sucesso"
"passed","Thu Feb 20 19:08:57 GMT 2025","Thu Feb 20 19:08:57 GMT 2025","127","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComEmailInvalido","testTentarFazerLoginComEmailInvalido","Testa se o usuario pode fazer login com email invalido"
