"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 14:23:35 GMT 2025","Thu Feb 20 14:23:35 GMT 2025","122","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComCredenciaisInvalidas","testTentarFazerLoginComCredenciaisInvalidas",""
"passed","Thu Feb 20 14:23:32 GMT 2025","Thu Feb 20 14:23:34 GMT 2025","2077","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucesso","testDeveFazerLoginComSucesso",""
"passed","Thu Feb 20 14:23:35 GMT 2025","Thu Feb 20 14:23:35 GMT 2025","95","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComEmailInvalido","testTentarFazerLoginComEmailInvalido",""
"passed","Thu Feb 20 14:23:34 GMT 2025","Thu Feb 20 14:23:35 GMT 2025","263","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucessoSchema","testDeveFazerLoginComSucessoSchema",""
