"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 19 20:32:53 GMT 2025","Wed Feb 19 20:32:53 GMT 2025","97","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComEmailInvalido","testTentarFazerLoginComEmailInvalido",""
"passed","Wed Feb 19 20:32:50 GMT 2025","Wed Feb 19 20:32:52 GMT 2025","2211","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucesso","testDeveFazerLoginComSucesso",""
"passed","Wed Feb 19 20:32:53 GMT 2025","Wed Feb 19 20:32:53 GMT 2025","135","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testTentarFazerLoginComCredenciaisInvalidas","testTentarFazerLoginComCredenciaisInvalidas",""
"passed","Wed Feb 19 20:32:52 GMT 2025","Wed Feb 19 20:32:53 GMT 2025","278","Surefire suite","Surefire test","Login.LoginTest","Login.LoginTest","testDeveFazerLoginComSucessoSchema","testDeveFazerLoginComSucessoSchema",""
